,Адрес,Цена,Тип предложения,Площадь участка,Коммуникации,Правоустанавливающие документы,Возможность ипотеки,Возможность обмена,Широта,Долгота,Местоположение,Разное,Возможность рассрочки,Состояние,Кол-во этажей,Интернет,Канализация,Питьевая вода,Электричество,Газ,Мебель,Телефон,Санузел,Пол
12,"Бишкек, Джальская больница, Ахунбаева/Бакаева",$ 159 000,от агента,4 соток,"свет,                                             газ,                                             интернет,                                             канализация","договор купли-продажи,                                             красная книга",есть,рассмотрю варианты,42.8441,74.5789,,"сад,                                             дом,                                             все документы",нет,,,,,,,,,,,
13,с. Октябрьское (Аламудунский р-н),$ 89 000,от собственника,66 соток,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,43.116,74.4974,,,,,,,,,,,,,,
14,"с. Токбай, Исмаила",$ 67 000,от агента,20 соток,"свет,                                             вода",,есть,рассмотрю варианты,42.8013,74.4088,в пригороде,"сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             дом,                                             ровный,                                             удобный въезд",нет,,,,,,,,,,,
15,"с. Беш-Кунгей, Район Военного Госпиталя,  СК ""Медик""/Дарыгерлер",$ 96 239,от агента,13 соток,"свет,                                             вода","технический паспорт,                                             красная книга",нет,обмен не предлагать,42.7809,74.6462,в дачном массиве,"сад,                                             огорожен,                                             госакт,                                             дом,                                             удобный въезд",нет,,,,,,,,,,,
16,"с. Арашан, с.Арашан/кафе ""Роял Фиш""",$ 58 780,от агента,5 соток,"свет,                                             отопление",,нет,обмен не предлагать,42.7275,74.6525,в пригороде,"сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             дом,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
17,"Бишкек, Мед. академия, Советская/Ахунбаева",$ 1 600 000,от агента,26 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация","технический паспорт,                                             красная книга",,,42.8437,74.6069,,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             времянка,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
18,"Бишкек, Кара Дарыя, горького",$ 1 550 000,от агента,39 соток,,"технический паспорт,                                             красная книга",,рассмотрю варианты,42.8562,74.6284,в городе,"госакт,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
19,с. Военно-Антоновка,$ 26 000,от собственника,6 соток,"свет,                                             вода","договор купли-продажи,                                             красная книга",,,42.8723,74.4441,вдоль трассы,времянка,,,,,,,,,,,,
20,"Бишкек, Мед. академия",$ 350 000,от агента,4 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             канализация","технический паспорт,                                             красная книга",,,42.8403,74.6083,,"дом,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
21,"Бишкек, Западный автовокзал, Жибек-Жолу/Лесхозная",$ 100 000,от агента,8 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             канализация","технический паспорт,                                             красная книга",,,42.8827,74.5621,в городе,"хозпостройки,                                             огорожен,                                             времянка,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
22,с. Кок-Джар,$ 52 000,от собственника,4.33 соток,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,обмен на авто,42.8109,74.649,в дачном массиве,,,,,,,,,,,,,
23,"Бишкек, Кудайберген, Профсоюзная/Садыгалиева",$ 55 000,от агента,4 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             красная книга",,,42.8854,74.5179,в городе,"госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
24,"Бишкек, Рухий Мурас ж/м",$ 140 000,от собственника,16 соток,"вода,                                             свет",красная книга,есть,рассмотрю варианты,42.8451,74.7083,,,есть,,,,,,,,,,,
25,"Бишкек, Кудайберген, Профсоюзная/Садыгалиева",$ 55 000,от агента,4 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             красная книга",,,42.8847,74.5178,в городе,"госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
26,"с. им. С. Чокморова, Эдиге",$ 27 000,от агента,7 соток,,,,,42.7541,74.6035,в пригороде,,,,,,,,,,,,,
27,"Бишкек, Кара Дарыя",$ 1 550 000,от агента,33 соток,"свет,                                             газ,                                             отопление,                                             вода,                                             канализация",красная книга,,,42.8561,74.6284,,"удобно под коммерцию,                                             все документы",,,,,,,,,,,,
28,"с. Аламудун, набережная 115",$ 125 000,от агента,15 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             красная книга",,,42.9166,74.6277,,,,,,,,,,,,,,
29,"с. Маловодное (Московский р-н), байтик",$ 125 000,от агента,18 соток,,,,,42.9818,74.2144,,,,,,,,,,,,,,
30,"Бишкек, Рухий Мурас ж/м",$ 140 000,от агента,16 соток,,,,,42.8517,74.697,,,,,,,,,,,,,,
31,"Бишкек, Кара-Жыгач ж/м, анкара",$ 400 000,от агента,20 соток,,,,,42.8554,74.6568,,,,,,,,,,,,,,
32,"Бишкек, Рухий Мурас ж/м",$ 140 000,от агента,16 соток,,,,,42.8535,74.6991,,,,,,,,,,,,,,
33,"Бишкек, Кок-Жар ж/м, ахунбаева/алматинка",$ 130 000,от агента,4.5 соток,,,,,42.838,74.6382,,,,,,,,,,,,,,
34,"Бишкек, Ала-Арча ж/м",$ 77 000,от агента,16 соток,,,,,42.808,74.5995,,,,,,,,,,,,,,
35,"с. Арашан, Достук 101",$ 180 000,от агента,20 соток,"свет,                                             интернет,                                             вода","договор купли-продажи,                                             технический паспорт,                                             красная книга",,рассмотрю варианты,42.7192,74.6555,,"сад,                                             огорожен,                                             госакт,                                             дом,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
36,"Бишкек, Бакай-Ата ж/м, Заводская 34",$ 90 000,от агента,50 соток,"свет,                                             вода",,,рассмотрю варианты,42.8974,74.6423,,"госакт,                                             дом,                                             времянка,                                             все документы",,,,,,,,,,,,
37,"Бишкек, Мед. академия",$ 1 600 000,от агента,26 соток,"свет,                                             газ,                                             отопление,                                             вода,                                             канализация","технический паспорт,                                             красная книга",,обмен не предлагать,42.8438,74.6076,,"хозпостройки,                                             удобно под коммерцию,                                             дом,                                             все документы",нет,,,,,,,,,,,
38,с. Лесное (Сокулукский р-н),$ 7 500,от агента,4 соток,,,,,42.9767,74.4136,,"ровный,                                             все документы",,,,,,,,,,,,
39,с. Сретенка,$ 78 500,от агента,280 соток,"свет,                                             вода",красная книга,,,42.9297,74.1334,,,,,,,,,,,,,,
40,"Бишкек, с. Чон-Арык",$ 250 000,от агента,10 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             красная книга",,,42.8046,74.5703,вдоль трассы,"огорожен,                                             удобно под коммерцию,                                             дом,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
41,"Бишкек, БГУ, юдахина",$ 60 000,от агента,3 соток,"свет,                                             газ,                                             отопление,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8485,74.5789,в городе,"огорожен,                                             дом,                                             ровный,                                             все документы",,,,,,,,,,,,
42,с. Бостери,$ 34 000,от собственника,20 соток,"свет,                                             вода",,нет,обмен на авто,42.6553,77.2002,,,нет,под самоотделку (псо),,,,,,,,,,
43,"Бишкек, Арча-Бешик ж/м, камбар ата",$ 46 500,от агента,4 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             красная книга",,,42.833,74.5399,,"ровный,                                             все документы",,,,,,,,,,,,
44,с. Заречное,$ 15 000,от агента,15 соток,"свет,                                             вода",зеленая книга,,,42.756,74.5718,,ровный,,,,,,,,,,,,
45,"Бишкек, Мед. академия",$ 350 000,от агента,4 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8439,74.6085,,,,,,,,,,,,,,
46,с. Арашан,$ 85 000,от агента,16 соток,"свет,                                             вода","договор купли-продажи,                                             красная книга",,,42.7225,74.6493,,все документы,,,,,,,,,,,,
47,Бишкек,$ 1 300 000,от агента,50 соток,,,,,42.8638,74.6206,,,,,,,,,,,,,,
48,Бишкек,$ 1 300 000,от агента,50 соток,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8629,74.6298,в городе,,,,,,,,,,,,,
49,с. Кок-Джар,$ 350 000,от агента,25 соток,,красная книга,,,42.822,74.644,,,,,,,,,,,,,,
50,с. Кок-Джар,$ 140 000,от агента,10 соток,"свет,                                             газ,                                             вода",красная книга,,,42.8232,74.6445,,ровный,,,,,,,,,,,,
51,с. Заречное,$ 14 000,от агента,15 соток,,,,,42.7592,74.5706,,,,,,,,,,,,,,
52,"Бишкек, Кок-Жар ж/м, Достоевская",$ 155 000,от агента,7 соток,"газ,                                             канализация",,,,42.8539,74.6499,,,,,,,,,,,,,,
53,"Бишкек, Кара Дарыя",$ 105 000,от агента,4.4 соток,,,,,42.8511,74.6282,,,,,,,,,,,,,,
54,"Бишкек, Рухий Мурас ж/м",$ 140 000,от агента,16 соток,"свет,                                             вода",красная книга,,,42.8521,74.7032,,"сад,                                             огорожен,                                             госакт,                                             ровный,                                             все документы",,,,,,,,,,,,
55,"Бишкек, 6 м-н",$ 320 000,от агента,3.3 соток,,,,,42.8256,74.6236,,,,,,,,,,,,,,
56,"Бишкек, Арча-Бешик ж/м,  ул.Сандык-Тор 32/ул.Шералиева",$ 130 000,от собственника,8 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             телефон,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",есть,рассмотрю варианты,42.8357,74.5548,в городе,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
57,с. Октябрьское (Аламудунский р-н),$ 7 000,от агента,4 соток,,,,,43.0914,74.4941,,,,,,,,,,,,,,
58,"Бишкек, Алматинка - Магистраль",$ 120 000,от агента,8 соток,"свет,                                             газ,                                             вода","договор купли-продажи,                                             красная книга",,,42.8121,74.6443,,"огорожен,                                             ровный,                                             удобный въезд",,,,,,,,,,,,
59,"Бишкек, Душанбинка",$ 159 000,от агента,5.4 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             акт ввода в эксплуатацию,                                             красная книга",,,42.8528,74.5917,,"хозпостройки,                                             огорожен,                                             госакт,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
60,"Бишкек, Киргизия 1 ж/м",$ 94 000,от агента,5 соток,"свет,                                             газ,                                             вода,                                             канализация",,нет,,42.8133,74.5822,,,нет,,,,,,,,,,,
61,"Бишкек, Ак-Орго ж/м",$ 68 000,от агента,5 соток,"свет,                                             газ,                                             вода,                                             канализация","красная книга,                                             акт ввода в эксплуатацию,                                             технический паспорт,                                             договор купли-продажи",,,42.8433,74.5158,,"сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
62,с. Новопокровка,$ 29 000,от агента,6.15 соток,"свет,                                             вода","договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.8752,74.778,вдоль трассы,"госакт,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
63,"Бишкек, Арча-Бешик ж/м",$ 230 000,от агента,9.5 соток,"свет,                                             газ,                                             вода",красная книга,,,42.8436,74.5441,в городе,"удобно под коммерцию,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
64,с. Байтик,$ 60 000,от агента,50 соток,"свет,                                             вода,                                             канализация",,,рассмотрю варианты,42.7516,74.5537,,"огорожен,                                             госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
65,с. Беш-Кунгей,$ 70 000,от агента,10 соток,"свет,                                             вода",,,,42.7738,74.6534,,,,,,,,,,,,,,
66,"Бишкек, Мед. академия",$ 350 000,от агента,4 соток,"свет,                                             газ,                                             отопление,                                             вода,                                             канализация","договор купли-продажи,                                             красная книга",,,42.8448,74.6092,вдоль трассы,"огорожен,                                             удобно под коммерцию",,,,,,,,,,,,
67,"с. Малиновка, Малиновка $/Воронцовка",$ 85 000,от собственника,14 соток,,красная книга,,рассмотрю варианты,42.695,74.5353,вдоль трассы,,,,,,,,,,,,,
68,"с. Новопокровка, Новорокравка @/Новопокровка",$ 13 500,от собственника,3.5 соток,,красная книга,,обмен не предлагать,42.8778,74.7111,вдоль трассы,,,,,,,,,,,,,
69,"Бишкек, с. Орто-Сай, Иманалиева",$ 240 000,от агента,10 соток,"свет,                                             газ,                                             вода","договор купли-продажи,                                             красная книга",,,42.8036,74.5911,,"огорожен,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
70,с. Байтик,$ 36 500,от агента,6 соток,,,,,42.7315,74.5454,,,,,,,,,,,,,,
71,"Бишкек, Горького - Панфилова",$ 280 000,от агента,5 соток,"свет,                                             газ,                                             вода,                                             канализация",красная книга,,,42.8612,74.5984,в городе,"хозпостройки,                                             огорожен,                                             дом,                                             все документы",,,,,,,,,,,,
72,"Бишкек, Таш Рабат, горький",$ 1 550 000,от агента,39 соток,,,,,42.8567,74.6189,,,,,,,,,,,,,,
73,"Бишкек, Кок-Жар ж/м",$ 165 000,от агента,6 соток,,,,,42.8457,74.6402,,,,,,,,,,,,,,
74,"с. Кой-Таш, алматинка",$ 78 500,от агента,8 соток,"свет,                                             вода","технический паспорт,                                             красная книга",,,42.7093,74.6653,,"сад,                                             дом,                                             все документы",,,,,,,,,,,,
75,"Бишкек, Кара Дарыя",$ 105 000,от агента,4.4 соток,,,,,42.8513,74.6283,,,,,,,,,,,,,,
76,Бишкек,$ 1 550 000,от агента,39 соток,,,,,42.8571,74.6276,,,,,,,,,,,,,,
77,с. Байтик,$ 150 000,от собственника,18.4 соток,"свет,                                             отопление,                                             вода","договор купли-продажи,                                             красная книга",,обмен не предлагать,42.7397,74.5597,в дачном массиве,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
78,"Бишкек, 6 м-н 2/3",$ 50 000,от агента,1 соток,"свет,                                             газ,                                             вода,                                             отопление,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",,с доплатой покупателя,42.8264,74.6256,в городе,"удобно под коммерцию,                                             все документы",,,,,,,,,,,,
79,"Бишкек, Магистраль, малдыбаева",$ 350 000,от агента,7 соток,"свет,                                             газ,                                             отопление,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,,42.8295,74.5958,вдоль трассы,"удобно под коммерцию,                                             ровный,                                             все документы",нет,,,,,,,,,,,
80,"с. Военно-Антоновка, Фрунзе",$ 245 000,от агента,24 соток,,,,,42.8728,74.4488,,,,,,,,,,,,,,
81,"Бишкек, Магистраль",$ 350 000,от агента,7 соток,,,,,42.8296,74.596,,,,,,,,,,,,,,
82,"Бишкек, Восток-5 м-н",$ 81 000,от агента,6 соток,,,,,42.8709,74.6285,,,,,,,,,,,,,,
83,"Бишкек, Ак-Орго ж/м",$ 55 000,от агента,5 соток,,красная книга,,,42.8462,74.5181,,,,,,,,,,,,,,
84,"с. Арашан, Тепловик",$ 19 500,от агента,4 соток,"свет,                                             вода",,,,42.7322,74.6495,в дачном массиве,,,,,,,,,,,,,
85,с. Байтик,$ 250 000,от агента,130 соток,,,,,42.7372,74.5466,,,,,,,,,,,,,,
86,"Бишкек, Кузнечная крепость",$ 85 000,от агента,4 соток,,,,,42.8868,74.6176,,,,,,,,,,,,,,
87,с. Кара-Талаа,$ 55 000,от агента,2.5 соток,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.3157,76.4027,,,,,,,,,,,,,,
88,с. Кара-Талаа,$ 50 000,от агента,250 соток,свет,"договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.2949,76.5201,,,,,,,,,,,,,,
89,"с. Арашан, Тепловик",$ 19 500,от агента,4 соток,"свет,                                             вода",,,,42.7407,74.6468,,,,,,,,,,,,,,
90,с. Садовое (Аламудунский р-н),$ 169 000,от агента,1000 соток,,,,,42.9414,74.6597,,,,,,,,,,,,,,
91,"Бишкек, Советская - Скрябина",$ 185 000,от агента,5 соток,,,,,42.8532,74.6145,,,,,,,,,,,,,,
92,"Бишкек, Ак-Орго ж/м",$ 78 000,от агента,10 соток,,красная книга,,,42.8466,74.5191,,,,,,,,,,,,,,
93,"Бишкек, Кок-Жар ж/м, 7 апреля",$ 155 000,от агента,4 соток,,,,,42.8371,74.6374,,,,,,,,,,,,,,
94,с. Дача СУ,$ 2 700 000,от агента,2500 соток,,,,,43.0628,74.4288,,,,,,,,,,,,,,
95,"Бишкек, Верхний Джал м-н",$ 162 000,от агента,7 соток,,,,,42.8337,74.5664,,,,,,,,,,,,,,
96,"Бишкек, Ак-Орго ж/м, гагарина/кырк кыз",$ 115 000,от агента,5 соток,,,,,42.8521,74.5258,,,,,,,,,,,,,,
97,Бишкек,$ 80 000,от агента,10 соток,,,,,42.7358,74.5405,,,,,,,,,,,,,,
98,"Бишкек, Бакай-Ата ж/м",$ 24 500,от агента,6 соток,,,,,42.8965,74.6527,,,,,,,,,,,,,,
99,Бишкек,$ 3 300 000,от агента,800 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация",зеленая книга,,,42.9489,74.6236,,,,,,,,,,,,,,
100,"Бишкек, Кок-Жар ж/м, алматинка/ахунбаева",$ 150 000,от агента,4.5 соток,,,,,42.8344,74.6396,,,,,,,,,,,,,,
101,"Бишкек, объездная",$ 3 200 000,от агента,1200 соток,"свет,                                             интернет,                                             вода,                                             телефон,                                             канализация",,,,42.9449,74.6339,,"огорожен,                                             удобный въезд",,,,,,,,,,,,
102,с. Дача СУ,$ 2 800 000,от агента,25000 соток,"свет,                                             газ,                                             вода",,,,43.0599,74.4324,,,,,,,,,,,,,,
103,"Бишкек, Киргизия 1 ж/м",$ 77 000,от агента,16 соток,,,,,42.8162,74.579,,,,,,,,,,,,,,
104,с. Кашка-Суу,$ 38 000,от агента,48 соток,"свет,                                             вода",,,,42.7094,74.5259,,сад,,,,,,,,,,,,
105,"Бишкек, Киргизия 1 ж/м",$ 94 000,от агента,5 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация",,,,42.8182,74.5811,,,,,,,,,,,,,,
106,"Бишкек, АУЦА",$ 4 950 000,от агента,215 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация",,,,42.8076,74.6138,,,,,,,,,,,,,,
107,"Бишкек, Рухий Мурас ж/м",$ 140 000,от агента,16 соток,,,,,42.8545,74.6975,,,,,,,,,,,,,,
108,"Бишкек, Ынтымак ж/м",$ 190 000,от агента,8 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,рассмотрю варианты,42.8145,74.5729,в городе,"фундамент,                                             сад,                                             дом",нет,,,,,,,,,,,
109,"Бишкек, Ынтымак ж/м",$ 160 000,от агента,8 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация",,нет,,42.8114,74.5704,в городе,"сад,                                             хозпостройки,                                             огорожен,                                             дом",нет,,,,,,,,,,,
110,"Бишкек, Киргизия 1 ж/м",$ 420 000,от агента,13 соток,,,,,42.8205,74.5828,,,,,,,,,,,,,,
111,"Бишкек, Кудайберген",$ 55 000,от агента,4 соток,,"красная книга,                                             технический паспорт",,,42.8852,74.5191,в городе,,,,,,,,,,,,,
112,с. Беш-Кунгей,$ 33 000,от агента,6 соток,,красная книга,,,42.7647,74.6417,,,,,,,,,,,,,,
113,с. им. С. Чокморова,$ 27 000,от агента,7 соток,,,,,42.7542,74.603,,,,,,,,,,,,,,
114,"Бишкек, Токольдош ж/м",$ 81 000,от агента,6 соток,"свет,                                             вода,                                             газ,                                             канализация",,,,42.8651,74.6419,,,,,,,,,,,,,,
115,Бишкек,$ 10 500,от агента,215 соток,,,,,42.8506,74.6542,вдоль трассы,,,,,,,,,,,,,
116,с. Таш-Добо,$ 100 000,от агента,17 соток,,,,с доплатой покупателя,42.7257,74.571,в городе,,,,,,,,,,,,,
117,"Бишкек, Мед. академия, Советская/Ахунбаева",$ 350 000,от агента,4 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             канализация","технический паспорт,                                             красная книга",есть,с доплатой покупателя,42.8444,74.6088,в городе,"огорожен,                                             госакт,                                             удобно под коммерцию,                                             дом,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
